time;x;y;z
3.416;0.137;-0.987;0.088
3.416;0.136;-0.985;0.089
3.416;0.134;-0.982;0.089
3.417;0.133;-0.979;0.088
3.417;0.131;-0.978;0.084
3.420;0.130;-0.978;0.081
3.426;0.127;-0.977;0.080
3.430;0.127;-0.979;0.075
3.435;0.127;-0.981;0.072
3.440;0.127;-0.981;0.069
3.445;0.132;-0.983;0.067
3.450;0.135;-0.982;0.067
3.455;0.140;-0.983;0.070
3.467;0.141;-0.986;0.071
3.468;0.145;-0.988;0.075
3.471;0.147;-0.990;0.078
3.481;0.148;-0.990;0.078
3.485;0.149;-0.991;0.080
3.485;0.149;-0.991;0.077
3.503;0.147;-0.993;0.071
3.503;0.143;-0.993;0.063
3.503;0.140;-0.993;0.056
3.504;0.134;-0.993;0.050
3.510;0.129;-0.992;0.044
3.513;0.125;-0.993;0.040
3.518;0.123;-0.994;0.040
3.523;0.118;-0.996;0.040
3.528;0.112;-0.997;0.044
3.532;0.109;-0.998;0.048
3.537;0.106;-1.001;0.047
3.545;0.101;-1.003;0.045
3.548;0.096;-1.004;0.043
3.553;0.096;-1.004;0.042
3.558;0.095;-1.004;0.044
3.563;0.096;-1.004;0.045
3.568;0.096;-1.003;0.045
3.573;0.098;-1.004;0.045
3.596;0.100;-1.004;0.044
3.598;0.103;-1.004;0.040
3.599;0.104;-1.004;0.036
3.600;0.107;-1.004;0.035
3.604;0.109;-1.004;0.032
3.604;0.108;-1.004;0.027
3.607;0.109;-1.004;0.025
3.633;0.111;-1.003;0.022
3.634;0.112;-1.003;0.024
3.634;0.110;-1.003;0.025
3.634;0.112;-1.000;0.027
3.634;0.108;-0.999;0.032
3.635;0.112;-0.998;0.034
3.640;0.111;-0.995;0.036
3.650;0.110;-0.994;0.037
3.655;0.111;-0.993;0.044
3.671;0.111;-0.990;0.046
3.674;0.112;-0.990;0.049
3.675;0.109;-0.987;0.050
3.676;0.107;-0.985;0.056
3.711;0.108;-0.983;0.058
3.712;0.109;-0.979;0.057
3.713;0.106;-0.974;0.056
3.714;0.103;-0.970;0.054
3.715;0.102;-0.967;0.054
3.716;0.102;-0.966;0.053
3.717;0.099;-0.966;0.053
3.718;0.098;-0.965;0.055
3.719;0.100;-0.964;0.058
3.724;0.102;-0.962;0.058
3.729;0.099;-0.964;0.055
3.733;0.099;-0.962;0.057
3.739;0.098;-0.958;0.058
3.745;0.095;-0.949;0.058
3.748;0.094;-0.941;0.056
3.754;0.094;-0.932;0.050
3.758;0.095;-0.922;0.044
3.765;0.096;-0.910;0.039
3.768;0.092;-0.897;0.035
3.773;0.090;-0.887;0.034
3.790;0.092;-0.875;0.031
3.791;0.096;-0.865;0.032
3.795;0.102;-0.854;0.038
3.824;0.108;-0.843;0.043
3.824;0.114;-0.838;0.049
3.825;0.118;-0.841;0.059
3.825;0.123;-0.849;0.071
3.825;0.132;-0.867;0.085
3.826;0.141;-0.895;0.103
3.826;0.152;-0.928;0.122
3.829;0.160;-0.967;0.140
3.830;0.165;-1.004;0.155
3.835;0.171;-1.037;0.167
3.840;0.176;-1.069;0.175
3.845;0.181;-1.090;0.183
3.850;0.188;-1.103;0.176
3.855;0.190;-1.124;0.187
3.866;0.186;-1.137;0.189
3.867;0.191;-1.138;0.179
3.870;0.189;-1.126;0.168
3.875;0.189;-1.106;0.152
3.891;0.190;-1.080;0.135
3.892;0.190;-1.054;0.115
3.892;0.184;-1.028;0.090
3.896;0.182;-1.006;0.073
3.899;0.182;-0.994;0.060
3.903;0.180;-0.982;0.052
3.908;0.184;-0.975;0.047
3.918;0.189;-0.968;0.053
3.924;0.192;-0.977;0.058
3.930;0.197;-0.987;0.073
3.933;0.210;-1.004;0.096
3.938;0.223;-1.020;0.118
3.947;0.235;-1.032;0.130
3.948;0.241;-1.055;0.148
3.953;0.249;-1.067;0.156
3.958;0.257;-1.077;0.162
3.965;0.262;-1.080;0.158
3.967;0.263;-1.077;0.148
3.974;0.260;-1.065;0.129
3.987;0.262;-1.049;0.108
3.988;0.267;-1.029;0.092
3.988;0.273;-1.010;0.072
